"YEAR","TRIP_ID","set_no","becket_no","TDR","AXL","CTD","CAM","DO"
2022,86530,1,13,1,0,0,0,0
2022,86530,2,13,1,0,0,0,0
2022,86530,3,13,1,0,0,0,0
2022,86530,4,13,1,0,0,0,0
2022,86530,5,4,0,1,0,0,0
2022,86530,5,4,1,0,0,0,0
2022,86530,5,4,0,0,0,1,0
2022,86530,5,30,0,0,0,1,0
2022,86530,5,30,1,0,0,0,0
2022,86530,5,30,0,1,0,0,0
2022,86530,5,54,1,0,0,0,0
2022,86530,5,54,0,0,0,1,0
2022,86530,5,54,0,1,0,0,0
2022,86530,6,14,0,1,0,0,0
2022,86530,6,14,1,0,0,0,0
2022,86530,6,14,0,0,0,1,0
2022,86530,7,13,1,0,0,0,0
2022,86530,8,13,1,0,0,0,0
2022,86530,9,13,1,0,0,0,0
2022,86530,10,13,1,0,0,0,0
2022,86530,11,3,0,1,0,0,0
2022,86530,11,3,0,0,0,1,0
2022,86530,11,3,1,0,0,0,0
2022,86530,11,30,1,0,0,0,0
2022,86530,11,30,0,0,0,1,0
2022,86530,11,30,0,1,0,0,0
2022,86530,11,54,0,0,0,1,0
2022,86530,11,54,1,0,0,0,0
2022,86530,11,54,0,1,0,0,0
2022,86530,12,14,1,0,0,0,0
2022,86530,12,14,0,0,0,1,0
2022,86530,12,14,0,1,0,0,0
2022,86530,13,13,1,0,0,0,0
2022,86530,14,13,1,0,0,0,0
2022,86530,15,13,1,0,0,0,0
2022,86530,16,12,1,0,0,0,0
2022,86530,17,13,1,0,0,0,0
2022,86530,18,5,0,0,0,1,0
2022,86530,18,5,0,1,0,0,0
2022,86530,18,5,1,0,0,0,0
2022,86530,18,30,0,1,0,0,0
2022,86530,18,30,1,0,0,0,0
2022,86530,18,30,0,0,0,1,0
2022,86530,18,54,0,1,0,0,0
2022,86530,18,54,0,0,0,1,0
2022,86530,18,54,1,0,0,0,0
2022,86530,19,14,0,1,0,0,0
2022,86530,19,14,1,0,0,0,0
2022,86530,19,14,0,0,0,1,0
2022,86530,20,13,1,0,0,0,0
2022,86530,21,5,0,0,0,1,0
2022,86530,21,5,0,1,0,0,0
2022,86530,21,5,1,0,0,0,0
2022,86530,21,30,1,0,0,0,0
2022,86530,21,30,0,1,0,0,0
2022,86530,21,30,0,0,0,1,0
2022,86530,21,54,0,0,0,1,0
2022,86530,21,54,1,0,0,0,0
2022,86530,21,54,0,1,0,0,0
2022,86530,22,13,1,0,0,0,0
2022,86530,23,14,0,0,0,1,0
2022,86530,23,14,1,0,0,0,0
2022,86530,23,14,0,1,0,0,0
2022,86530,24,13,1,0,0,0,0
2022,86530,25,13,1,0,0,0,0
2022,86530,26,13,1,0,0,0,0
2022,86530,27,13,1,0,0,0,0
2022,86530,28,12,1,0,0,0,0
2022,86530,29,13,1,0,0,0,0
2022,86530,30,5,0,1,0,0,0
2022,86530,30,5,0,0,0,1,0
2022,86530,30,5,1,0,0,0,0
2022,86530,30,30,0,0,0,1,0
2022,86530,30,30,0,1,0,0,0
2022,86530,30,30,1,0,0,0,0
2022,86530,30,54,0,0,0,1,0
2022,86530,30,54,1,0,0,0,0
2022,86530,30,54,0,1,0,0,0
2022,86530,31,14,0,0,0,1,0
2022,86530,31,14,1,0,0,0,0
2022,86530,31,14,0,1,0,0,0
2022,86530,32,13,1,0,0,0,0
2022,86530,33,12,1,0,0,0,0
2022,86530,34,13,1,0,0,0,0
2022,86530,35,10,1,0,0,0,0
2022,86530,36,13,1,0,0,0,0
2022,86530,37,14,0,0,0,1,0
2022,86530,37,14,1,0,0,0,0
2022,86530,37,14,0,1,0,0,0
2022,86530,38,14,0,0,0,1,0
2022,86530,38,14,1,0,0,0,0
2022,86530,38,14,0,1,0,0,0
2022,86530,39,13,1,0,0,0,0
2022,86530,40,13,1,0,0,0,0
2022,86530,41,12,1,0,0,0,0
2022,86530,42,13,1,0,0,0,0
2022,86530,43,14,1,0,0,0,0
2022,86530,43,14,0,0,0,1,0
2022,86530,43,14,0,1,0,0,0
2022,86530,44,10,0,1,0,0,0
2022,86530,44,10,0,0,0,1,0
2022,86530,44,10,1,0,0,0,0
2022,86530,45,13,1,0,0,0,0
2022,86530,46,13,1,0,0,0,0
2022,86530,47,13,1,0,0,0,0
2022,86530,48,13,1,0,0,0,0
2022,86530,49,13,1,0,0,0,0
2022,86530,50,13,1,0,0,0,0
2022,86530,51,13,1,0,0,0,0
2022,86530,52,13,1,0,0,0,0
2022,86530,53,12,1,0,0,0,0
2022,86530,54,13,1,0,0,0,0
2022,86530,55,13,1,0,0,0,0
2022,86530,56,13,1,0,0,0,0
2022,86530,57,13,1,0,0,0,0
2022,86530,58,13,1,0,0,0,0
2022,86530,59,13,1,0,0,0,0
2022,86530,60,13,1,0,0,0,0
2022,86530,61,13,1,0,0,0,0
2022,86530,62,13,1,0,0,0,0
2022,86530,63,13,1,0,0,0,0
2022,86530,64,5,1,0,0,0,0
2022,86530,64,5,0,1,0,0,0
2022,86530,64,5,0,0,0,1,0
2022,86530,64,30,0,0,0,1,0
2022,86530,64,30,0,1,0,0,0
2022,86530,64,30,1,0,0,0,0
2022,86530,64,54,0,1,0,0,0
2022,86530,64,54,1,0,0,0,0
2022,86530,64,54,0,0,0,1,0
2022,86530,65,12,1,0,0,0,0
2022,86530,66,13,1,0,0,0,0
2022,86530,67,13,1,0,0,0,0
2022,86530,68,13,1,0,0,0,0
2022,86530,69,13,1,0,0,0,0
2022,86530,70,14,0,0,0,1,0
2022,86530,70,14,1,0,0,0,0
2022,86530,70,14,0,1,0,0,0
2022,86530,72,13,1,0,0,0,0
2022,86530,73,13,1,0,0,0,0
2022,86530,74,13,1,0,0,0,0
2022,86530,75,14,0,0,0,1,0
2022,86530,75,14,0,1,0,0,0
2022,86530,75,14,1,0,0,0,0
2022,86530,76,14,0,1,0,0,0
2022,86530,76,14,1,0,0,0,0
2022,86530,76,14,0,0,0,1,0
2022,86530,77,13,1,0,0,0,0
2022,86530,78,13,1,0,0,0,0
2022,86530,79,13,1,0,0,0,0
2022,86530,80,13,1,0,0,0,0
2022,86530,81,13,1,0,0,0,0
2022,86530,82,14,0,1,0,0,0
2022,86530,82,14,1,0,0,0,0
2022,86530,82,14,0,0,0,1,0
2022,86530,83,14,0,1,0,0,0
2022,86530,83,14,1,0,0,0,0
2022,86530,83,14,0,0,0,1,0
2022,86530,84,14,0,0,0,1,0
2022,86530,84,14,1,0,0,0,0
2022,86530,84,14,0,1,0,0,0
2022,86530,85,13,1,0,0,0,0
2022,86530,86,13,1,0,0,0,0
2022,86530,87,13,1,0,0,0,0
2022,86530,88,13,1,0,0,0,0
2022,86530,89,13,1,0,0,0,0
2022,86530,90,13,0,0,0,1,0
2022,86530,90,13,1,0,0,0,0
2022,86530,90,13,0,1,0,0,0
2022,86530,91,14,1,0,0,0,0
2022,86530,91,14,0,0,0,1,0
2022,86530,91,14,0,1,0,0,0
2022,86530,92,13,1,0,0,0,0
2022,86530,93,13,1,0,0,0,0
2022,86530,94,13,1,0,0,0,0
2022,86530,95,13,1,0,0,0,0
2022,86530,96,13,1,0,0,0,0
2022,86530,97,13,1,0,0,0,0
