"YEAR","SPECIMEN_SEX_CODE","MATURITY_CODE","Count","MATURITY_NAME","MATURITY_DESC"
2012,1,11,6,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2012,1,12,5,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2012,2,12,32,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2013,1,2,174,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2013,2,2,447,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2013,2,3,121,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2013,1,3,137,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2013,2,4,1425,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2013,1,4,1121,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2013,2,5,50,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2013,1,5,418,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2013,1,8,17,"RUNNING RIPE","LOBES FULLY DEVELOPED, SPERM IS RELEASED WHEN SLIGHT PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2013,2,10,1,"RESORBING","EGGS PRESENT BUT DID NOT FUNCTION NORMALLY (NOT NORMAL)"
2013,1,12,7,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2013,2,12,39,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2014,1,1,1,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2014,1,2,95,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2014,2,2,178,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2014,1,3,54,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2014,2,3,168,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2014,1,4,979,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2014,2,4,1437,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2014,2,5,32,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2014,1,5,499,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2014,2,6,1,"RIPE1","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 25% OF EGGS HAVE BECOME TRANSLUCENT"
2014,1,9,1,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2014,1,11,1,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2014,1,12,1,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2014,2,12,4,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2015,1,2,193,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2015,2,2,456,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2015,1,3,62,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2015,2,3,359,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2015,1,4,982,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2015,2,4,1093,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2015,2,5,34,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2015,1,5,449,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2015,1,9,2,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2015,2,12,4,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2016,2,1,6,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2016,1,1,35,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2016,1,2,204,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2016,2,2,550,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2016,1,3,57,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2016,2,3,215,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2016,1,4,779,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2016,2,4,923,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2016,1,5,729,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2016,2,5,250,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2016,1,8,5,"RUNNING RIPE","LOBES FULLY DEVELOPED, SPERM IS RELEASED WHEN SLIGHT PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2016,1,9,1,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2016,1,12,7,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2016,2,12,25,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2017,1,1,59,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2017,2,1,6,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2017,1,2,277,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2017,2,2,566,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2017,1,3,143,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2017,2,3,431,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2017,1,4,518,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2017,2,4,883,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2017,1,5,554,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2017,2,5,167,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2017,2,7,1,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2017,1,8,12,"RUNNING RIPE","LOBES FULLY DEVELOPED, SPERM IS RELEASED WHEN SLIGHT PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2017,1,9,40,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2017,1,11,23,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2017,2,12,9,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2017,1,12,1,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2018,1,1,9,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2018,2,1,2,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2018,1,2,295,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2018,2,2,775,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2018,1,3,122,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2018,2,3,826,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2018,2,4,729,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2018,1,4,571,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2018,2,5,10,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2018,1,5,1023,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2018,2,7,1,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2018,2,12,20,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2018,1,12,2,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2019,1,1,20,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2019,2,1,6,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2019,1,2,516,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2019,2,2,1235,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2019,1,3,94,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2019,2,3,815,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2019,2,4,529,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2019,1,4,691,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2019,2,5,9,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2019,1,5,395,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2019,2,6,1,"RIPE1","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 25% OF EGGS HAVE BECOME TRANSLUCENT"
2019,2,7,1,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2019,1,8,1,"RUNNING RIPE","LOBES FULLY DEVELOPED, SPERM IS RELEASED WHEN SLIGHT PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2019,2,12,14,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2019,1,12,2,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2020,2,1,2,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2020,1,1,1,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2020,1,2,426,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2020,2,2,841,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2020,2,3,689,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2020,1,3,179,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2020,2,4,271,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2020,1,4,703,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2020,2,5,65,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2020,1,5,266,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2020,2,7,2,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2020,1,11,66,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2020,2,11,4,"RECOVERING","STILL SOME RED PURPLE COLOUR, NOT FLACCID, WHITISH SHEEN TO EXTERIOR SURFACE"
2020,1,12,36,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2020,2,12,52,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2021,1,1,5,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2021,1,2,332,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2021,2,2,496,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2021,2,3,554,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2021,1,3,263,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2021,2,4,894,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2021,1,4,735,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2021,2,5,5,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2021,1,5,202,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2021,2,7,1,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2021,2,8,1,"RUNNING RIPE","STREAM OF TRANSLUCENT EGGS RELEASED WHEN SLIGHT-MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2021,1,11,1,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2021,2,12,48,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2021,1,12,21,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2022,1,1,10,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2022,1,2,277,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2022,2,2,599,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2022,1,3,170,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2022,2,3,487,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2022,1,4,981,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2022,2,4,1094,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2022,2,5,1,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2022,1,5,516,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2022,2,10,1,"RESORBING","EGGS PRESENT BUT DID NOT FUNCTION NORMALLY (NOT NORMAL)"
2022,1,12,59,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2022,2,12,96,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
